idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
0,Zack Snyder's Justice League,Action Adventure Fantasy,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",10,0.101866,0.612359,0.042446,0.031486,0.011162,https://whatdoido.kro.kr/movie/0.jpg
1,Avengers: Endgame,Action Adventure Drama,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,0.420253,0.104184,0.50252,0.170522,0.076802,https://whatdoido.kro.kr/movie/1.jpg
2,Sound of Metal,Drama Music,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,,0.117889,0.777012,0.020969,0.007879,0.036071,https://whatdoido.kro.kr/movie/2.jpg
3,The Trial of the Chicago 7,Drama History Thriller,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",8,0.078815,0.756471,0.065774,0.087054,0.02815,https://whatdoido.kro.kr/movie/3.jpg
4,Soul,Animation Adventure Comedy,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",10,0.073239,0.827449,0.027331,0.031462,0.032511,https://whatdoido.kro.kr/movie/4.jpg
5,Sleepers,Crime Drama Thriller,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",6,0.256426,0.242192,0.373116,0.101274,0.243351,https://whatdoido.kro.kr/movie/5.jpg
6,Knives Out,Comedy Crime Drama,"A detective investigates the death of a patriarch of an eccentric, combative family.",5,0.268492,0.195009,0.252744,0.142994,0.366089,https://whatdoido.kro.kr/movie/6.jpg
7,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9,0.043982,0.599932,0.018476,0.223198,0.07897,https://whatdoido.kro.kr/movie/7.jpg
8,The Dark Knight,Action Crime Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",10,0.03099,0.85282,0.067019,0.018201,0.030686,https://whatdoido.kro.kr/movie/8.jpg
9,Avengers: Infinity War,Action Adventure Sci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,10,0.340197,0.604696,0.038112,0.003983,0.013565,https://whatdoido.kro.kr/movie/9.jpg
10,The Gentlemen,Action Comedy Crime,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",8,0.090394,0.737535,0.084972,0.053853,0.017121,https://whatdoido.kro.kr/movie/10.jpg
11,Harry Potter and the Sorcerer's Stone,Adventure Family Fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",9,0.465515,0.351728,0.10636,0.148262,0.063058,https://whatdoido.kro.kr/movie/11.jpg
12,Joker,Crime Drama Thriller,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",10,0.182215,0.386218,0.173521,0.106123,0.172062,https://whatdoido.kro.kr/movie/12.jpg
13,The Sound of Music,Biography Drama Family,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,10,0.008013,0.936173,0.020155,0.012533,0.030963,https://whatdoido.kro.kr/movie/13.jpg
14,Guardians of the Galaxy,Action Adventure Comedy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,9,0.064454,0.831038,0.016699,0.020763,0.028418,https://whatdoido.kro.kr/movie/14.jpg
15,Blade Runner 2049,Action Drama Mystery,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",,0.539984,0.020675,0.185885,0.021626,0.099822,https://whatdoido.kro.kr/movie/15.jpg
16,Watchmen,Action Drama Mystery,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",10,0.131241,0.75285,0.02449,0.010425,0.03453,https://whatdoido.kro.kr/movie/16.jpg
17,Pulp Fiction,Crime Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,0.023491,0.911224,0.015867,0.009087,0.029085,https://whatdoido.kro.kr/movie/17.jpg
18,The Lord of the Rings: The Fellowship of the Ring,Action Adventure Drama,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,10,0.168094,0.550172,0.090641,0.202628,0.097406,https://whatdoido.kro.kr/movie/18.jpg
19,Captain America: Civil War,Action Adventure Sci-Fi,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,9,0.079898,0.778433,0.016592,0.062629,0.054497,https://whatdoido.kro.kr/movie/19.jpg
20,The Wolf of Wall Street,Biography Crime Drama,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",10,0.04616,0.771373,0.014127,0.014898,0.012432,https://whatdoido.kro.kr/movie/20.jpg
21,Thor: Ragnarok,Action Adventure Comedy,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",1,0.422613,0.013276,0.10996,0.27346,0.486248,https://whatdoido.kro.kr/movie/21.jpg
22,Deadpool 2,Action Adventure Comedy,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",10,0.052946,0.737033,0.043285,0.017334,0.031367,https://whatdoido.kro.kr/movie/22.jpg
23,Interstellar,Adventure Drama Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,10,0.032294,0.735465,0.024201,0.045893,0.199955,https://whatdoido.kro.kr/movie/23.jpg
24,Almost Famous,Adventure Comedy Drama,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,10,0.458848,0.72901,0.050305,0.046898,0.09603,https://whatdoido.kro.kr/movie/24.jpg
25,Inception,Action Adventure Sci-Fi,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,8,0.19806,0.453724,0.162435,0.029246,0.181513,https://whatdoido.kro.kr/movie/25.jpg
26,The Ten Commandments,Adventure Drama,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",9,0.096127,0.71247,0.047428,0.047258,0.053302,https://whatdoido.kro.kr/movie/26.jpg
27,Captain America: The Winter Soldier,Action Adventure Sci-Fi,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",8,0.116348,0.774707,0.008033,0.077235,0.043472,https://whatdoido.kro.kr/movie/27.jpg
28,Ben-Hur,Adventure Drama History,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",9,0.024233,0.800416,0.101409,0.025748,0.044515,https://whatdoido.kro.kr/movie/28.jpg
29,Titanic,Drama Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",10,0.039712,0.856471,0.01773,0.02728,0.027774,https://whatdoido.kro.kr/movie/29.jpg
30,Inglourious Basterds,Adventure Drama War,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",9,0.141393,0.693358,0.072815,0.145524,0.067762,https://whatdoido.kro.kr/movie/30.jpg
31,Gone Girl,Drama Mystery Thriller,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",6,0.501755,0.041202,0.122957,0.465059,0.212377,https://whatdoido.kro.kr/movie/31.jpg
32,Jojo Rabbit,Comedy Drama War,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,9,0.036249,0.894766,0.012271,0.005711,0.061213,https://whatdoido.kro.kr/movie/32.jpg
33,Back to the Future,Adventure Comedy Sci-Fi,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",,0.127994,0.722395,0.041634,0.073623,0.051166,https://whatdoido.kro.kr/movie/33.jpg
34,The Silence of the Lambs,Crime Drama Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",10,0.229529,0.467495,0.100774,0.215043,0.066543,https://whatdoido.kro.kr/movie/34.jpg
35,Captain Fantastic,Comedy Drama,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",10,0.135833,0.826172,0.022933,0.006901,0.015961,https://whatdoido.kro.kr/movie/35.jpg
36,The Avengers,Action Adventure Sci-Fi,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,10,0.033643,0.858407,0.061134,0.012636,0.048716,https://whatdoido.kro.kr/movie/36.jpg
37,Mad Max: Fury Road,Action Adventure Sci-Fi,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",1,0.38297,0.132057,0.091203,0.112994,0.478401,https://whatdoido.kro.kr/movie/37.jpg
38,The Matrix,Action Sci-Fi,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",10,0.214561,0.31378,0.031941,0.04071,0.103882,https://whatdoido.kro.kr/movie/38.jpg
39,1917,Drama Thriller War,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",10,0.147024,0.237631,0.026099,0.135319,0.046378,https://whatdoido.kro.kr/movie/39.jpg
40,Heat,Crime Drama Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,10,0.071744,0.728118,0.046184,0.121565,0.070581,https://whatdoido.kro.kr/movie/40.jpg
41,The Departed,Crime Drama Thriller,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,10,0.087711,0.826114,0.01931,0.005529,0.032269,https://whatdoido.kro.kr/movie/41.jpg
42,Schindler's List,Biography Drama History,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",,0.083089,0.671808,0.148804,0.129604,0.024492,https://whatdoido.kro.kr/movie/42.jpg
43,Gladiator,Action Adventure Drama,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,10,0.088219,0.869529,0.004771,0.01998,0.023334,https://whatdoido.kro.kr/movie/43.jpg
44,The Prestige,Drama Mystery Sci-Fi,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",10,0.19487,0.241441,0.06151,0.128548,0.159677,https://whatdoido.kro.kr/movie/44.jpg
45,Forrest Gump,Drama Romance,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",10,0.116894,0.658682,0.015411,0.241391,0.031174,https://whatdoido.kro.kr/movie/45.jpg
46,Guardians of the Galaxy Vol. 2,Action Adventure Comedy,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",10,0.229567,0.71326,0.064306,0.007998,0.004035,https://whatdoido.kro.kr/movie/46.jpg
47,Iron Man,Action Adventure Sci-Fi,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",10,0.023343,0.781704,0.019223,0.012788,0.025351,https://whatdoido.kro.kr/movie/47.jpg
48,Green Book,Biography Comedy Drama,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,10,0.183506,0.648371,0.049094,0.057425,0.11989,https://whatdoido.kro.kr/movie/48.jpg
49,The Hobbit: An Unexpected Journey,Adventure Fantasy,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",8,0.018443,0.786425,0.024823,0.011743,0.188721,https://whatdoido.kro.kr/movie/49.jpg
50,No Country for Old Men,Crime Drama Thriller,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,1,0.182632,0.626871,0.109023,0.099925,0.578307,https://whatdoido.kro.kr/movie/50.jpg
51,Dazed and Confused,Comedy,The adventures of high school and junior high students on the last day of school in May 1976.,,0.202717,0.42471,0.248105,0.063245,0.223422,https://whatdoido.kro.kr/movie/51.jpg
52,Fight Club,Drama,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter),...                See full summary »",10,0.44533,0.472219,0.064224,0.040191,0.026311,https://whatdoido.kro.kr/movie/52.jpg
53,Alien,Horror Sci-Fi,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",10,0.107095,0.060718,0.536691,0.036018,0.048172,https://whatdoido.kro.kr/movie/53.jpg
54,Call Me by Your Name,Drama Romance,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",8,0.031648,0.939147,0.005761,0.006365,0.023239,https://whatdoido.kro.kr/movie/54.jpg
55,Deadpool,Action Adventure Comedy,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8,0.011429,0.931124,0.004338,0.01873,0.04109,https://whatdoido.kro.kr/movie/55.jpg
56,Ford v Ferrari,Action Biography Drama,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,9,0.008262,0.967197,0.007566,0.007167,0.002361,https://whatdoido.kro.kr/movie/56.jpg
57,Django Unchained,Drama Western,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",9,0.028502,0.873595,0.019011,0.018059,0.040163,https://whatdoido.kro.kr/movie/57.jpg
58,Hamilton,Biography Drama History,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",10,0.331209,0.101415,0.239448,0.273954,0.160792,https://whatdoido.kro.kr/movie/58.jpg
59,Little Women,Drama Romance,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",5,0.411934,0.329198,0.119889,0.044431,0.11428,https://whatdoido.kro.kr/movie/59.jpg
60,American Psycho,Comedy Crime Drama,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",10,0.178553,0.136957,0.054065,0.069195,0.05014,https://whatdoido.kro.kr/movie/60.jpg
61,Tombstone,Action Biography Drama,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",10,0.031315,0.154562,0.060763,0.022839,0.126335,https://whatdoido.kro.kr/movie/61.jpg
62,The Goonies,Adventure Comedy Family,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,10,0.024005,0.903892,0.013893,0.010775,0.032454,https://whatdoido.kro.kr/movie/62.jpg
63,The Green Mile,Crime Drama Fantasy,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",10,0.110264,0.213586,0.058225,0.384367,0.135317,https://whatdoido.kro.kr/movie/63.jpg
64,Goodfellas,Biography Crime Drama,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",10,0.022154,0.865837,0.002957,0.089876,0.039164,https://whatdoido.kro.kr/movie/64.jpg
65,Bohemian Rhapsody,Biography Drama Music,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",10,0.379855,0.494246,0.070104,0.055812,0.056488,https://whatdoido.kro.kr/movie/65.jpg
66,Batman Begins,Action Adventure,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",10,0.043481,0.575361,0.229091,0.090698,0.162789,https://whatdoido.kro.kr/movie/66.jpg
67,Saving Private Ryan,Drama War,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",10,0.720349,0.583866,0.108751,0.056741,0.090195,https://whatdoido.kro.kr/movie/67.jpg
68,Avatar,Action Adventure Fantasy,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,10,0.117421,0.621979,0.012836,0.031077,0.106391,https://whatdoido.kro.kr/movie/68.jpg
69,The Lord of the Rings: The Return of the King,Action Adventure Drama,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,10,0.031601,0.680804,0.028508,0.012584,0.026894,https://whatdoido.kro.kr/movie/69.jpg
70,Get Out,Horror Mystery Thriller,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",5,0.206914,0.447226,0.697081,0.458015,0.121943,https://whatdoido.kro.kr/movie/70.jpg
71,Apocalypse Now,Drama Mystery War,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,10,0.295893,0.584532,0.102134,0.0277,0.023112,https://whatdoido.kro.kr/movie/71.jpg
72,Prisoners,Crime Drama Mystery,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",10,0.153341,0.736943,0.022453,0.056082,0.064116,https://whatdoido.kro.kr/movie/72.jpg
73,The Grand Budapest Hotel,Adventure Comedy Crime,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",9,0.028414,0.782258,0.051878,0.052945,0.069174,https://whatdoido.kro.kr/movie/73.jpg
74,The Shining,Drama Horror,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",6,0.253045,0.087549,0.700598,0.030725,0.147287,https://whatdoido.kro.kr/movie/74.jpg
75,Harry Potter and the Goblet of Fire,Adventure Family Fantasy,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",9,0.48219,0.68187,0.066071,0.107594,0.104984,https://whatdoido.kro.kr/movie/75.jpg
76,300,Action Drama,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,9,0.093578,0.830362,0.013033,0.046396,0.028778,https://whatdoido.kro.kr/movie/76.jpg
77,Se7en,Crime Drama Mystery,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",10,0.149522,0.714955,0.118729,0.015221,0.039118,https://whatdoido.kro.kr/movie/77.jpg
78,Requiem for a Dream,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,9,0.050716,0.907015,0.004518,0.019334,0.021242,https://whatdoido.kro.kr/movie/78.jpg
79,Shutter Island,Mystery Thriller,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",10,0.144363,0.688067,0.090272,0.030464,0.064392,https://whatdoido.kro.kr/movie/79.jpg
80,The Martian,Adventure Drama Sci-Fi,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",9,0.524565,0.652204,0.07135,0.088039,0.076407,https://whatdoido.kro.kr/movie/80.jpg
81,The Lion King,Animation Adventure Drama,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",10,0.019964,0.790499,0.019942,0.008753,0.017574,https://whatdoido.kro.kr/movie/81.jpg
82,Whiplash,Drama Music,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,3,0.533002,0.644876,0.051966,0.122076,0.05927,https://whatdoido.kro.kr/movie/82.jpg
83,Taxi Driver,Crime Drama,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",9,0.232251,0.73869,0.017141,0.003799,0.002895,https://whatdoido.kro.kr/movie/83.jpg
84,Pride & Prejudice,Drama Romance,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",1,0.107223,0.78351,0.014861,0.068859,0.052973,https://whatdoido.kro.kr/movie/84.jpg
85,The Big Short,Biography Comedy Drama,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,7,0.684282,0.076206,0.20008,0.144751,0.089156,https://whatdoido.kro.kr/movie/85.jpg
86,Mission: Impossible - Fallout,Action Adventure Thriller,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",9,0.460635,0.136409,0.309939,0.093686,0.164865,https://whatdoido.kro.kr/movie/86.jpg
87,Baby Driver,Action Crime Drama,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",9,0.631247,0.106843,0.289622,0.025278,0.135613,https://whatdoido.kro.kr/movie/87.jpg
88,Moana,Animation Adventure Comedy,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",10,0.034178,0.860587,0.012923,0.012699,0.012104,https://whatdoido.kro.kr/movie/88.jpg
89,Into the Wild,Adventure Biography Drama,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",10,0.531397,0.680507,0.103297,0.055465,0.088754,https://whatdoido.kro.kr/movie/89.jpg
90,Spider-Man: Into the Spider-Verse,Animation Action Adventure,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",9,0.000561,0.8614,0.134997,0.016292,0.012887,https://whatdoido.kro.kr/movie/90.jpg
91,Blade Runner,Action Sci-Fi Thriller,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",10,0.15658,0.725562,0.108411,0.076719,0.074145,https://whatdoido.kro.kr/movie/91.jpg
92,Arrival,Drama Sci-Fi,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,9,0.007825,0.947733,0.007327,0.010918,0.015491,https://whatdoido.kro.kr/movie/92.jpg
93,Pirates of the Caribbean: The Curse of the Black Pearl,Action Adventure Fantasy,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",10,0.018107,0.942121,0.01338,0.007932,0.011375,https://whatdoido.kro.kr/movie/93.jpg
94,The Irishman,Biography Crime Drama,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",3,0.513226,0.043847,0.567388,0.065264,0.06056,https://whatdoido.kro.kr/movie/94.jpg
95,Snatch,Comedy Crime,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",8,0.026881,0.892803,0.012409,0.013884,0.019676,https://whatdoido.kro.kr/movie/95.jpg
96,The Princess Bride,Adventure Family Fantasy,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",10,0.082705,0.866001,0.023387,0.014841,0.01217,https://whatdoido.kro.kr/movie/96.jpg
97,The Godfather: Part II,Crime Drama,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",10,0.010956,0.909924,0.04237,0.014019,0.034501,https://whatdoido.kro.kr/movie/97.jpg
98,About Time,Comedy Drama Fantasy,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",10,0.271275,0.654146,0.046701,0.022907,0.048902,https://whatdoido.kro.kr/movie/98.jpg
99,American Beauty,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,10,0.17217,0.496795,0.082664,0.128991,0.092796,https://whatdoido.kro.kr/movie/99.jpg
100,A Clockwork Orange,Crime Drama Sci-Fi,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",9,0.020875,0.947613,0.010638,0.003085,0.010819,https://whatdoido.kro.kr/movie/100.jpg
101,Dunkirk,Action Drama History,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",9,0.092302,0.732494,0.032248,0.078993,0.104212,https://whatdoido.kro.kr/movie/101.jpg
102,The Perks of Being a Wallflower,Drama Romance,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,10,0.140447,0.714044,0.068414,0.026837,0.082551,https://whatdoido.kro.kr/movie/102.jpg
103,Donnie Darko,Drama Mystery Sci-Fi,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",9,0.020429,0.888151,0.020093,0.075336,0.016578,https://whatdoido.kro.kr/movie/103.jpg
104,The Breakfast Club,Comedy Drama,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,4,0.649266,0.610822,0.140055,0.079962,0.088333,https://whatdoido.kro.kr/movie/104.jpg
105,Good Will Hunting,Drama Romance,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8,0.011336,0.854793,0.018803,0.089517,0.040242,https://whatdoido.kro.kr/movie/105.jpg
106,Citizen Kane,Drama Mystery,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",7,0.662654,0.566676,0.066197,0.694549,0.148822,https://whatdoido.kro.kr/movie/106.jpg
107,Aliens,Action Adventure Sci-Fi,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",10,0.102602,0.835094,0.032467,0.003665,0.027783,https://whatdoido.kro.kr/movie/107.jpg
108,The Hobbit: The Desolation of Smaug,Adventure Fantasy,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",8,0.264619,0.464372,0.155221,0.079441,0.150326,https://whatdoido.kro.kr/movie/108.jpg
109,Dances with Wolves,Adventure Drama Western,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",9,0.224218,0.40881,0.03931,0.103178,0.348408,https://whatdoido.kro.kr/movie/109.jpg
110,12 Angry Men,Crime Drama,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,10,0.045577,0.869554,0.018811,0.028263,0.039312,https://whatdoido.kro.kr/movie/110.jpg
