idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
433,Doctor Zhivago,Drama Romance War,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",1,0.432715,0.267554,0.318828,0.09684,0.085606,https://whatdoido.kro.kr/movie/433.jpg
434,The Jungle Book,Animation Adventure Family,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,10,0.040824,0.882551,0.017716,0.03,0.033989,https://whatdoido.kro.kr/movie/434.jpg
435,Roma,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,2,0.612827,0.069262,0.090327,0.237335,0.082695,https://whatdoido.kro.kr/movie/435.jpg
436,Only the Brave,Action Biography Drama,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",10,0.127833,0.797741,0.015458,0.011136,0.035639,https://whatdoido.kro.kr/movie/436.jpg
437,The Birds,Drama Horror Mystery,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,6,0.106307,0.454998,0.360158,0.053444,0.170804,https://whatdoido.kro.kr/movie/437.jpg
438,Das Boot,Adventure Drama Thriller,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",,0.551215,0.638493,0.163603,0.080732,0.144628,https://whatdoido.kro.kr/movie/438.jpg
439,Seven Pounds,Drama,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,10,0.35321,0.552562,0.075589,0.024514,0.049895,https://whatdoido.kro.kr/movie/439.jpg
440,Tumbbad,Drama Fantasy Horror,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,10,0.116077,0.114442,0.801162,0.044884,0.092389,https://whatdoido.kro.kr/movie/440.jpg
441,The Quiet Man,Comedy Drama Romance,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",,0.102728,0.861445,0.017178,0.010832,0.007998,https://whatdoido.kro.kr/movie/441.jpg
442,The Remains of the Day,Drama Romance,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,,0.692959,0.645496,0.062909,0.091007,0.059662,https://whatdoido.kro.kr/movie/442.jpg
443,Giant,Drama Western,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,4,0.647513,0.607662,0.100743,0.466163,0.111206,https://whatdoido.kro.kr/movie/443.jpg
444,The Color Purple,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,,0.094339,0.882283,0.004654,0.012455,0.010156,https://whatdoido.kro.kr/movie/444.jpg
445,Lost Highway,Mystery Thriller,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",9,0.61829,0.600412,0.124152,0.06309,0.123429,https://whatdoido.kro.kr/movie/445.jpg
446,Akira,Animation Action Sci-Fi,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,,0.163307,0.538616,0.00983,0.099391,0.288631,https://whatdoido.kro.kr/movie/446.jpg
447,The Wrestler,Drama Sport,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",10,0.157991,0.67738,0.092111,0.061602,0.689284,https://whatdoido.kro.kr/movie/447.jpg
448,Awakenings,Biography Drama,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",10,0.059343,0.668497,0.038113,0.107212,0.14045,https://whatdoido.kro.kr/movie/448.jpg
449,Anatomy of a Murder,Crime Drama Mystery,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",,0.051265,0.090577,0.021625,0.392562,0.670412,https://whatdoido.kro.kr/movie/449.jpg
450,Enemy at the Gates,Drama History War,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,8,0.198289,0.216862,0.535987,0.104806,0.169027,https://whatdoido.kro.kr/movie/450.jpg
451,JFK,Drama History Thriller,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,9,0.147615,0.548207,0.121828,0.131576,0.134374,https://whatdoido.kro.kr/movie/451.jpg
452,Who's Afraid of Virginia Woolf?,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",9,0.314886,0.359883,0.227028,0.123717,0.031022,https://whatdoido.kro.kr/movie/452.jpg
453,Hotel Rwanda,Biography Drama History,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",10,0.541964,0.605598,0.126885,0.072754,0.074636,https://whatdoido.kro.kr/movie/453.jpg
454,Fried Green Tomatoes,Drama,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,9,0.640067,0.746247,0.024855,0.039589,0.024649,https://whatdoido.kro.kr/movie/454.jpg
455,After Hours,Comedy Crime Drama,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,10,0.089496,0.512117,0.062763,0.203765,0.174395,https://whatdoido.kro.kr/movie/455.jpg
456,Serpico,Biography Crime Drama,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,6,0.309526,0.413012,0.069981,0.048843,0.090491,https://whatdoido.kro.kr/movie/456.jpg
457,Hachi: A Dog's Tale,Biography Drama Family,A college professor bonds with an abandoned dog he takes into his home.,10,0.780491,0.103128,0.185408,0.038931,0.053157,https://whatdoido.kro.kr/movie/457.jpg
458,Mississippi Burning,Crime Drama History,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,10,0.110341,0.810052,0.048398,0.018607,0.026238,https://whatdoido.kro.kr/movie/458.jpg
459,Me and Earl and the Dying Girl,Comedy Drama,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",7,0.088799,0.697826,0.031501,0.21625,0.012469,https://whatdoido.kro.kr/movie/459.jpg
460,Dogville,Crime Drama,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",8,0.128021,0.54875,0.063133,0.302749,0.038148,https://whatdoido.kro.kr/movie/460.jpg
461,The Last King of Scotland,Biography Drama History,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,8,0.461582,0.672278,0.085905,0.180507,0.103864,https://whatdoido.kro.kr/movie/461.jpg
